manufacturer,model,search_code,start_year,end_year,variant,code,image_path
MAZDA,121,121,1987,1990,,, 
MAZDA,121,121,1990,1996,,, 
MAZDA,2,2,2002,2007,,, 
MAZDA,2,2,2007,2014,,, 
MAZDA,2,2,2014,2019,,, 
MAZDA,2,2,2019,,,, 
MAZDA,3,3,2003,2009,,, 
MAZDA,3,3,2009,2013,,, 
MAZDA,3,3,2013,2019,,, 
MAZDA,3,3,2019,,,, 
MAZDA,323,323,1977,1985,,, 
MAZDA,323,323,1985,1989,,, 
MAZDA,323,323,1989,1994,,, 
MAZDA,323,323,1994,1998,,, 
MAZDA,323,323,1998,2003,,, 
MAZDA,5,5,2005,2010,,, 
MAZDA,5,5,2010,2018,,, 
MAZDA,6,6,2002,2007,,, 
MAZDA,6,6,2007,2012,,, 
MAZDA,6,6,2012,2018,,, 
MAZDA,6,6,2018,,,, 
MAZDA,626,626,1979,1987,,, 
MAZDA,626,626,1987,1991,,, 
MAZDA,626,626,1991,1997,,, 
MAZDA,626,626,1997,2002,,, 
MAZDA,929,929,1987,1997,,, 
MAZDA,B-SERIES,BSERIES,1985,2006,,, 
MAZDA,BT-50,BT50,2006,2011,,, 
MAZDA,BT-50,BT50,2011,2020,,, 
MAZDA,BT-50,BT50,2020,,,, 
MAZDA,CX-3,CX3,2015,2021,,, 
MAZDA,CX-30,CX30,2019,,,, 
MAZDA,CX-5,CX5,2012,2017,,, 
MAZDA,CX-5,CX5,2017,2022,,, 
MAZDA,CX-5,CX5,2022,,,, 
MAZDA,CX-7,CX7,2006,2012,,, 
MAZDA,CX-9,CX9,2007,2016,,, 
MAZDA,CX-9,CX9,2016,,,, 
MAZDA,DEMIO,DEMIO,1996,2002,,, 
MAZDA,DEMIO,DEMIO,2002,2007,,, 
MAZDA,E-SERIES,ESERIES,1984,2003,,, 
MAZDA,FAMILIA,FAMILIA,1980,1985,,, 
MAZDA,FAMILIA,FAMILIA,1985,1989,,, 
MAZDA,MIATA,MIATA,1989,1997,,, 
MAZDA,MIATA,MIATA,1998,2005,,, 
MAZDA,MILLENIA,MILLENIA,1993,2002,,, 
MAZDA,MPV,MPV,1988,1999,,, 
MAZDA,MPV,MPV,1999,2006,,, 
MAZDA,MX-3,MX3,1991,1998,,, 
MAZDA,MX-5,MX5,1989,1997,,, 
MAZDA,MX-5,MX5,1998,2005,,, 
MAZDA,MX-5,MX5,2005,2015,,, 
MAZDA,MX-5,MX5,2015,,,, 
MAZDA,MX-6,MX6,1987,1997,,, 
MAZDA,PREMACY,PREMACY,1999,2005,,, 
MAZDA,PREMACY,PREMACY,2005,2010,,, 
MAZDA,PROTEGE,PROTEGE,1989,1994,,, 
MAZDA,PROTEGE,PROTEGE,1994,1998,,, 
MAZDA,PROTEGE,PROTEGE,1998,2003,,, 
MAZDA,RX-7,RX7,1978,1985,,, 
MAZDA,RX-7,RX7,1985,1991,,, 
MAZDA,RX-7,RX7,1991,2002,,, 
MAZDA,RX-8,RX8,2003,2012,,, 
MAZDA,TRIBUTE,TRIBUTE,2000,2007,,, 
MAZDA,TRIBUTE,TRIBUTE,2007,2012,,, 
MAZDA,XEDOS 6,XEDOS6,1992,1999,,, 
MAZDA,XEDOS 9,XEDOS9,1993,2002,,, 
